CPU_PIN,IRQ,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19,AF20,AF21,AF22,AF23,AF24,AF25,AF26,AF27,AF28,AF29,AF30,AF31
P711,IRQ3,AGT:AGTEE0,,GPT:GTIOC11A,,SCI:CTS_RTS1_C/SS1_C:C,SPI:SSLB2_B:B,,,,,,,,SCI:DE1,,,,,,,,ESWM(GMII/MII):GPTP_PPS0,,,GLCDC:LCD_DATA19_B:B,,,,,,
P712,IRQ2,AGT:AGTOB0,,GPT:GTIOC2B,,SCI:CTS1_C:C,SPI:SSLB1_B:B,,,,,,,,,,,,,,,,ESWM(GMII/MII):GPTP_CAPTURE1,,,GLCDC:LCD_DATA20_B:B,,,,,,
P713,IRQ14,AGT:AGTOA0,,GPT:GTIOC2A,SCI:CTS4_C:C,,,,,,,,,,,,,,,,,,ESWM(GMII/MII):GPTP_MATCH1,,,GLCDC:LCD_DATA21_B:B,,,,,,
P714,IRQ13,,,GPT:GTIOC12B,SCI:TXD4_C/SDA4_C/MOSI4_C:C,,,,,,,,,,,,,,,,,,ESWM(GMII/MII):GPTP_PPS1,,,GLCDC:LCD_DATA22_B:B,,,,,,MIPI:DSI_TE
P715,IRQ12,,,GPT:GTIOC12A,SCI:RXD4_C/SCL4_C/MISO4_C:C,,,,,,,,,,,,,,,,,,ESWM(GMII/MII):ET_TAS_STA2,,,GLCDC:LCD_DATA23_B:B,,,,,,
P800,IRQ11,AGT:AGTOA0,GPT:GTIU,GPT:GTIOC11A,SCI:CTS2_A:A,,,,,,,,,,,,,,,,,,,,,,,,OSPI:OM_0_SIO5,,,
P801,IRQ12,AGT:AGTOB0,GPT:GTIV,GPT:GTIOC11B,SCI:TXD2_A/SDA2_A/MOSI2_A:A,,,,,,,,,,,,,,,,,,ESWM(GMII/MII):GPTP_PPS1,,,,,,OSPI:OM_0_DQS,,,
P802,IRQ18,,GPT:GTIW,GPT:GTIOC12A,SCI:RXD2_A/SCL2_A/MISO2_A:A,,,,,,,,,,,,,,,,,,,,,,,,OSPI:OM_0_SIO6,,,
P803,IRQ19,,GPT:GTETRGC,GPT:GTIOC12B,SCI:SCK2_A:A,,,,,,,,,SCI:DE2,,,,,,,,,,,,,,,OSPI:OM_0_SIO1,,,
P804,IRQ14,,GPT:GTETRGD,GPT:GTIOC13A,SCI:CTS_RTS2_A/SS2_A:A,,,,,,,,,SCI:DE2,,,,,,,,,,,,,,,OSPI:OM_0_SIO7,,,MIPI:DSI_TE
P805,IRQ30,,,,SCI:TXD8_A/SDA8_A/MOSI8_A:A,,,,,,,,,,,CEU:VIO_D15,,,,,,,ESWM(GMII/MII):ET1_MDIO,,,GLCDC:LCD_TCON1_B:B,,,,,,
P806,IRQ0,,,,SCI:RXD8_A/SCL8_A/MISO8_A:A,,,,,,,,,,,CEU:VIO_D14,,,,,,,ESWM(GMII/MII):ET1_MDC,,,GLCDC:LCD_TCON0_B:B,,,,,,
P807,IRQ11,,,GPT:GTIOC13A,,,,,,,,,,,,,,,,,,,,,,GLCDC:LCD_TCON2_B:B,,,,,,
P810,IRQ21,,,GPT:GTIOC10A,,SCI:SCK7_B:B,,,,,,,,,SCI:DE7,,,,,,,SDHI:SD1DAT2_A:A,,,,,,PDMIF:PDMCLK0,,,ULPT:ULPTOA0,
P811,IRQ22,,,GPT:GTIOC10B,,SCI:CTS7_B:B,,,,,,,,,,,,,,USBFS:USB_ID,,SDHI:SD1DAT3_A:A,,,,,,PDMIF:PDMCLK1,,,ULPT:ULPTOB0,
P812,IRQ23,,,GPT:GTIOC11A,,SCI:CTS_RTS7_B/SS7_B:B,,,,,,,,,SCI:DE7,,,,,USBFS:USB_EXICEN,,SDHI:SD1DAT4_A:A,,,,,,PDMIF:PDMCLK2,,,,
P902,IRQ0,,,GPT:GTCPPO13,,,,,,RTC/CLKOUT/ACMPHS/ETHPHYCLK:ETHPHYCLK,,BUS:ALE,,,,CEU:VIO_D1,,,SSIE:AUDIO_CLK,,,,,,,GLCDC:LCD_DATA3_B:B,,,,,,
P903,IRQ1,,,GPT:GTIOC11A,,,,,,,,,,,,,,,,,,,,,,GLCDC:LCD_DATA2_B:B,,,,,,
P904,IRQ2,,,GPT:GTIOC11B,,,,,,,,,,,,,,,,,,,ESWM(GMII/MII):ET1_RXD4,,,GLCDC:LCD_DATA8_B:B,,,,,,
P905,IRQ8,,,GPT:GTCPPO13,,SCI:RXD3_B/SCL3_B/MISO3_B:B,,,,,CAC/ADC16H:AD1FLAG1,,,,,CEU:VIO_D6,,,,,,,ESWM(GMII/MII):ET1_RX_CLK,ESWM(RMII):RMII1_REF50CK,ESWM(RGMII):RGMII1_RXC,GLCDC:LCD_DATA19_A:A,,PDMIF:PDMDAT1,,,,
P906,IRQ9,,,GPT:GTIOC13B,SCI:CTS6_A:A,,,,,,CAC/ADC16H:AD0FLAG1,,,,,CEU:VIO_D5,,,SSIE:SSILRCK1/SSIFS1_A:A,USBFS:USB_ID,,,ESWM(GMII/MII):ET1_RXD0,ESWM(RMII):RMII1_RXD0,ESWM(RGMII):RGMII1_RXD0,GLCDC:LCD_DATA20_A:A,,PDMIF:PDMDAT0,,,ULPT:ULPTO1,
P907,IRQ10,,,GPT:GTIOC13A,SCI:SCK6_A:A,,,,,,CAC/ADC16H:ADSYNC,,,SCI:DE6,,CEU:VIO_D4,,,SSIE:SSIBCK1_A:A,USBFS:USB_EXICEN,,,ESWM(GMII/MII):ET1_RXD1,ESWM(RMII):RMII1_RXD1,ESWM(RGMII):RGMII1_RXD1,GLCDC:LCD_DATA21_A:A,,PDMIF:PDMCLK2,,,ULPT:ULPTEE1,
P908,IRQ11,,,GPT:GTIOC12B,SCI:TXD6_A/SDA6_A/MOSI6_A:A,,,,,,CAC/ADC16H:ADST1,,,,,CEU:VIO_D3,CANFD:CRX1,,,USBFS:USB_OVRCURB,USBHS:USBHS_ID,,ESWM(GMII/MII):ET1_RXD2,,ESWM(RGMII):RGMII1_RXD2,GLCDC:LCD_DATA22_A:A,,PDMIF:PDMCLK1,,,ULPT:ULPTEVI1,
P909,IRQ21-DS,,,GPT:GTIOC12A,SCI:RXD6_A/SCL6_A/MISO6_A:A,,,,,,CAC/ADC16H:ADST0,,,,,CEU:VIO_D2,CANFD:CTX1,,,USBFS:USB_OVRCURA,USBHS:USBHS_EXICEN,,ESWM(GMII/MII):ET1_RXD3,,ESWM(RGMII):RGMII1_RXD3,GLCDC:LCD_DATA23_A:A,,PDMIF:PDMCLK0,,,ULPT:ULPTOA1,
P910,IRQ7,,,GPT:GTCPPO12,,,,,,,,,,,,,,,,,,,ESWM(GMII/MII):ET1_TXD4,,,GLCDC:LCD_DATA4_B:B,,,,,,
P911,IRQ6,,,GPT:GTIOC3B,,,,,,,,,,,,,,,,,,,ESWM(GMII/MII):ET1_TXD5,,,GLCDC:LCD_DATA5_B:B,,,,,,
P912,IRQ5,,,GPT:GTIOC3A,,,,,,,,,,,,,,,,,,,ESWM(GMII/MII):ET1_TXD6,,,GLCDC:LCD_DATA6_B:B,,,,,,
P913,IRQ3,,,GPT:GTCPPO11,,,,,,RTC/CLKOUT/ACMPHS/ETHPHYCLK:CLKOUT,,,,,,,,,,,,,ESWM(GMII/MII):ET1_TXD7,,,GLCDC:LCD_DATA7_B:B,,,,,,
P914,IRQ9,,,GPT:GTIOC5B,SCI:CTS_RTS6_B/SS6_B:B,,,,,,,,,SCI:DE6,,,,,,,,,,,,GLCDC:LCD_DATA0_B:B,,,,,,
P915,IRQ8,,,GPT:GTIOC5A,SCI:CTS6_B:B,,,,,,,,,,,,,,,,,,,,,GLCDC:LCD_DATA1_B:B,,,,,,
PA07,IRQ16,,GPT:GTETRGB,GPT:GTIOC7A,,SCI:CTS7_A:A,,,,RTC/CLKOUT/ACMPHS/ETHPHYCLK:VCOUT,,BUS:RD,,,,CEU:VIO_D12,,,,,,SDHI:SD0DAT0_A:A,,,,,,PDMIF:PDMDAT0,,,,
PB00,IRQ10,,,GPT:GTCPPO4,,SCI:SCK1_B:B,,,,,CAC/ADC16H:ADST0,,,,SCI:DE1,,,,,,USBHS:USBHS_VBUSEN,,ESWM(GMII/MII):ET0_TXD0,ESWM(RMII):RMII0_TXD0,ESWM(RGMII):RGMII0_TXD0,GLCDC:LCD_DATA17_B:B,,PDMIF:PDMDAT2,,,,
PB01,IRQ12,,,GPT:GTCPPO2,,SCI:CTS_RTS1_B/SS1_B:B,,,,,CAC/ADC16H:AD1FLAG1,BUS:ALE,,,SCI:DE1,CEU:VIO_FLD,,,,,,,ESWM(GMII/MII):ET0_TX_CLK,,,GLCDC:LCD_DATA13_B:B,,,,,,
PB02,IRQ11,,,GPT:GTCPPO0,,SCI:RXD5_C/SCL5_C/MISO5_C:C,,,,,CAC/ADC16H:ADST1,,,,,CEU:VIO_VD,,,,,,,ESWM(GMII/MII):ET0_TXD1,ESWM(RMII):RMII0_TXD1,ESWM(RGMII):RGMII0_TXD1,GLCDC:LCD_DATA16_B:B,,,,,,
PB03,IRQ13,,,GPT:GTCPPO1,,SCI:TXD5_C/SDA5_C/MOSI5_C:C,,,,,CAC/ADC16H:ADSYNC,,,,,CEU:VIO_HD,,,,,,,ESWM(GMII/MII):ET0_TXD2,,ESWM(RGMII):RGMII0_TXD2,GLCDC:LCD_DATA15_B:B,,,,,,
PB04,IRQ9,,,GPT:GTCPPO3,,SCI:SCK5_C:C,,,,,CAC/ADC16H:AD0FLAG1,,,,SCI:DE5,CEU:VIO_CLK,,,,,,,ESWM(GMII/MII):ET0_TXD3,,ESWM(RGMII):RGMII0_TXD3,GLCDC:LCD_DATA14_B:B,,,,,,
PB05,IRQ15,,,GPT:GTCPPO4,,SCI:CTS5_C:C,,,,,,,,,,,,,,,,,ESWM(GMII/MII):ET0_TXD7,,,GLCDC:LCD_DATA12_B:B,,,,,,
PB06,IRQ0,,,GPT:GTIOC9A,,SCI:CTS_RTS5_C/SS5_C:C,,,,,,,,,SCI:DE5,,,,,,,,ESWM(GMII/MII):ET0_TXD6,,,GLCDC:LCD_DATA11_B:B,,,,,,
PB07,IRQ1,,,GPT:GTIOC9B,,,,,,,,,,,,,,,,,,,ESWM(GMII/MII):ET0_TXD5,,,GLCDC:LCD_DATA10_B:B,,,,,,
PC09,IRQ5,,,,,,,,,,,BUS:D21/DQ21,,,,,,,,,,,,,,,,,OSPI:OM_1_RSTO1,,,
